German,English
ich,I
sie,she/they/you (formal)
das,that/the
ist,is
du,you
nicht,not
die,the (pl/fem)
es,it
und,and
der,the (masc)
wir,we
was,what
zu,to/too
er,he
ein,a/an/one
in,in
ja,yes
mir,me (dative)
mit,with
wie,how/as
den,the (masc acc)
mich,me (accusative)
auf,on/upon
dass,that
aber,but
eine,a/an (fem)
so,so
hat,has
hier,here
haben,to have
für,for
sind,are
war,was
von,from/of
wenn,when/if
dich,you (accusative)
ihr,you (pl/possessive)
nein,no
habe,have
an,at/on
bin,am
noch,still/yet
nur,only
da,there/since
dir,you (dative)
sich,oneself
einen,an/a (masc acc)
uns,us
hast,have (you singular)
dem,the (dative)
kann,can
auch,also/too
schon,already
als,as/when
sein,to be/his
mal,time/just (informal)
jetzt,now
ihn,him
dann,then
aus,out/from
meine,my (fem/pl)
um,around/for
im,in the
wird,becomes/will be
mein,my (masc/neut)
bist,are (you singular)
doch,yet/indeed/surely
alles,everything
weiß,white/knows
keine,no/none
oder,or
nach,after/to
s,s (abbreviation)
nichts,nothing
man,one (impersonal pronoun)
muss,must
werden,to become/will
will,wants/will
ihnen,them/You (formal dative)
geht,goes
wo,where
etwas,something
oh,oh
mehr,more
bei,near/with/at
also,so/therefore
bitte,please
immer,always
hab,have (short for 'habe')
warum,why
vor,before/in front of
los,loose/go!
können,can/to be able to
wieder,again
sagen,to say
machen,to make/to do
danke,thank you
sehr,very
alle,all
denn,because/for/then
mann,man
tun,to do
ihm,him (dative)
zum,to the (masc/neut dat)
gehen,to go
sehen,to see
vielleicht,perhaps/maybe
einem,a/an/one (dative)
wer,who
ihre,her/their/Your (formal possessive)
diese,these/this (fem/pl)
euch,you (pl accusative/dative)
einer,one/a (masc/fem gen/dat/acc)
komm,come (imperative)
über,over/about
gibt,gives
okay,okay
wissen,to know
deine,your (fem/pl)
müssen,must/to have to
soll,shall/should
werde,will/become
nie,never
wirklich,really
hey,hey
kein,no/none
viel,much/a lot
weg,away/gone
würde,would/became
tut,does/hurts
